"x", "x+a+b-c", "floorf(x)"
0,0,0
1,1,1
0.5,0,0
0.333333,0,0
0.25,0,0
0.2,0,0
0.166667,0,0
0.142857,0,0
0.125,0,0
0.111111,0,0
0.1,0,0
0.0909091,0,0
0.0833333,0,0
0.0769231,0,0
0.0714286,0,0
0.0666667,0,0
0.0625,0,0
0.0588235,0,0
0.0555556,0,0
0.0526316,0,0
0.05,0,0
0.047619,0,0
0.0454545,0,0
0.0434783,0,0
0.0416667,0,0
0.04,0,0
0.0384615,0,0
0.037037,0,0
0.0357143,0,0
0.0344828,0,0
0.0333333,0,0
0.0322581,0,0
0.03125,0,0
0.030303,0,0
0.0294118,0,0
0.0285714,0,0
0.0277778,0,0
0.027027,0,0
0.0263158,0,0
0.025641,0,0
0.025,0,0
0.0243902,0,0
0.0238095,0,0
0.0232558,0,0
0.0227273,0,0
0.0222222,0,0
0.0217391,0,0
0.0212766,0,0
0.0208333,0,0
0.0204082,0,0
0.02,0,0
0.0196078,0,0
0.0192308,0,0
0.0188679,0,0
0.0185185,0,0
0.0181818,0,0
0.0178571,0,0
0.0175439,0,0
0.0172414,0,0
0.0169492,0,0
0.0166667,0,0
0.0163934,0,0
0.016129,0,0
0.015873,0,0
0.015625,0,0
0.0153846,0,0
0.0151515,0,0
0.0149254,0,0
0.0147059,0,0
0.0144928,0,0
0.0142857,0,0
0.0140845,0,0
0.0138889,0,0
0.0136986,0,0
0.0135135,0,0
0.0133333,0,0
0.0131579,0,0
0.012987,0,0
0.0128205,0,0
0.0126582,0,0
0.0125,0,0
0.0123457,0,0
0.0121951,0,0
0.0120482,0,0
0.0119048,0,0
0.0117647,0,0
0.0116279,0,0
0.0114943,0,0
0.0113636,0,0
0.011236,0,0
0.0111111,0,0
0.010989,0,0
0.0108696,0,0
0.0107527,0,0
0.0106383,0,0
0.0105263,0,0
0.0104167,0,0
0.0103093,0,0
0.0102041,0,0
0.010101,0,0
0.01,0,0
0.00990099,0,0
0.00980392,0,0
0.00970874,0,0
0.00961538,0,0
0.00952381,0,0
0.00943396,0,0
0.00934579,0,0
0.00925926,0,0
0.00917431,0,0
0.00909091,0,0
0.00900901,0,0
0.00892857,0,0
0.00884956,0,0
0.00877193,0,0
0.00869565,0,0
0.00862069,0,0
0.00854701,0,0
0.00847458,0,0
0.00840336,0,0
0.00833333,0,0
0.00826446,0,0
0.00819672,0,0
0.00813008,0,0
0.00806452,0,0
0.008,0,0
0.00793651,0,0
0.00787402,0,0
0.0078125,0,0
0.00775194,0,0
0.00769231,0,0
0.00763359,0,0
0.00757576,0,0
0.0075188,0,0
0.00746269,0,0
0.00740741,0,0
0.00735294,0,0
0.00729927,0,0
0.00724638,0,0
0.00719424,0,0
0.00714286,0,0
0.0070922,0,0
0.00704225,0,0
0.00699301,0,0
0.00694444,0,0
0.00689655,0,0
0.00684932,0,0
0.00680272,0,0
0.00675676,0,0
0.00671141,0,0
0.00666667,0,0
0.00662252,0,0
0.00657895,0,0
0.00653595,0,0
0.00649351,0,0
0.00645161,0,0
0.00641026,0,0
0.00636943,0,0
0.00632911,0,0
0.00628931,0,0
0.00625,0,0
0.00621118,0,0
0.00617284,0,0
0.00613497,0,0
0.00609756,0,0
0.00606061,0,0
0.0060241,0,0
0.00598802,0,0
0.00595238,0,0
0.00591716,0,0
0.00588235,0,0
0.00584795,0,0
0.00581395,0,0
0.00578035,0,0
0.00574713,0,0
0.00571429,0,0
0.00568182,0,0
0.00564972,0,0
0.00561798,0,0
0.00558659,0,0
0.00555556,0,0
0.00552486,0,0
0.00549451,0,0
0.00546448,0,0
0.00543478,0,0
0.00540541,0,0
0.00537634,0,0
0.00534759,0,0
0.00531915,0,0
0.00529101,0,0
0.00526316,0,0
0.0052356,0,0
0.00520833,0,0
0.00518135,0,0
0.00515464,0,0
0.00512821,0,0
0.00510204,0,0
0.00507614,0,0
0.00505051,0,0
0.00502513,0,0
0.005,0,0
0.00497512,0,0
0.00495049,0,0
0.00492611,0,0
0.00490196,0,0
0.00487805,0,0
0.00485437,0,0
0.00483092,0,0
0.00480769,0,0
0.00478469,0,0
0.0047619,0,0
0.00473934,0,0
0.00471698,0,0
0.00469484,0,0
0.0046729,0,0
0.00465116,0,0
0.00462963,0,0
0.00460829,0,0
0.00458716,0,0
0.00456621,0,0
0.00454545,0,0
0.00452489,0,0
0.0045045,0,0
0.00448431,0,0
0.00446429,0,0
0.00444444,0,0
0.00442478,0,0
0.00440529,0,0
0.00438596,0,0
0.00436681,0,0
0.00434783,0,0
0.004329,0,0
0.00431034,0,0
0.00429185,0,0
0.0042735,0,0
0.00425532,0,0
0.00423729,0,0
0.00421941,0,0
0.00420168,0,0
0.0041841,0,0
0.00416667,0,0
0.00414938,0,0
0.00413223,0,0
0.00411523,0,0
0.00409836,0,0
0.00408163,0,0
0.00406504,0,0
0.00404858,0,0
0.00403226,0,0
0.00401606,0,0
0.004,0,0
0.00398406,0,0
0.00396825,0,0
0.00395257,0,0
0.00393701,0,0
0.00392157,0,0
2,2,2
0.666667,0,0
0.4,0,0
0.285714,0,0
0.222222,0,0
0.181818,0,0
0.153846,0,0
0.133333,0,0
0.117647,0,0
0.105263,0,0
0.0952381,0,0
0.0869565,0,0
0.08,0,0
0.0740741,0,0
0.0689655,0,0
0.0645161,0,0
0.0606061,0,0
0.0571429,0,0
0.0540541,0,0
0.0512821,0,0
0.0487805,0,0
0.0465116,0,0
0.0444444,0,0
0.0425532,0,0
0.0408163,0,0
0.0392157,0,0
0.0377358,0,0
0.0363636,0,0
0.0350877,0,0
0.0338983,0,0
0.0327869,0,0
0.031746,0,0
0.0307692,0,0
0.0298507,0,0
0.0289855,0,0
0.028169,0,0
0.0273973,0,0
0.0266667,0,0
0.025974,0,0
0.0253165,0,0
0.0246914,0,0
0.0240964,0,0
0.0235294,0,0
0.0229885,0,0
0.0224719,0,0
0.021978,0,0
0.0215054,0,0
0.0210526,0,0
0.0206186,0,0
0.020202,0,0
0.019802,0,0
0.0194175,0,0
0.0190476,0,0
0.0186916,0,0
0.0183486,0,0
0.018018,0,0
0.0176991,0,0
0.0173913,0,0
0.017094,0,0
0.0168067,0,0
0.0165289,0,0
0.0162602,0,0
0.016,0,0
0.015748,0,0
0.0155039,0,0
0.0152672,0,0
0.0150376,0,0
0.0148148,0,0
0.0145985,0,0
0.0143885,0,0
0.0141844,0,0
0.013986,0,0
0.0137931,0,0
0.0136054,0,0
0.0134228,0,0
0.013245,0,0
0.0130719,0,0
0.0129032,0,0
0.0127389,0,0
0.0125786,0,0
0.0124224,0,0
0.0122699,0,0
0.0121212,0,0
0.011976,0,0
0.0118343,0,0
0.0116959,0,0
0.0115607,0,0
0.0114286,0,0
0.0112994,0,0
0.0111732,0,0
0.0110497,0,0
0.010929,0,0
0.0108108,0,0
0.0106952,0,0
0.010582,0,0
0.0104712,0,0
0.0103627,0,0
0.0102564,0,0
0.0101523,0,0
0.0100503,0,0
0.00995025,0,0
0.00985222,0,0
0.0097561,0,0
0.00966184,0,0
0.00956938,0,0
0.00947867,0,0
0.00938967,0,0
0.00930233,0,0
0.00921659,0,0
0.00913242,0,0
0.00904977,0,0
0.00896861,0,0
0.00888889,0,0
0.00881057,0,0
0.00873362,0,0
0.00865801,0,0
0.00858369,0,0
0.00851064,0,0
0.00843882,0,0
0.0083682,0,0
0.00829876,0,0
0.00823045,0,0
0.00816326,0,0
0.00809717,0,0
0.00803213,0,0
0.00796813,0,0
0.00790514,0,0
0.00784314,0,0
3,3,3
1.5,1,1
0.75,0,0
0.6,0,0
0.428571,0,0
